HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
M'gladbach,Dortmund,2020-03-07,1,0,0,1,0,0,3,2,1,0,0,0,0,0,2,0,0,1,1,1
Bayern Munich,Augsburg,2020-03-08,1,1,2,1,4,0,2,0,0,0,2,3,0,1,0,1,0,2,0,0
Mainz,Fortuna Dusseldorf,2020-03-08,2,0,0,0,0,2,0,2,3,0,0,3,1,0,1,0,0,1,0,1
M'gladbach,FC Koln,2020-03-11,0,1,1,1,0,0,3,2,2,0,1,0,2,0,0,1,1,1,0,1
Augsburg,Wolfsburg,2020-05-16,0,0,2,3,0,0,0,2,0,0,0,0,0,1,2,1,0,1,1,1
Dortmund,Schalke 04,2020-05-16,1,0,0,0,1,0,1,1,1,0,0,1,0,2,0,1,2,2,0,0
Fortuna Dusseldorf,Paderborn,2020-05-16,3,0,0,3,0,0,1,1,0,2,1,0,0,2,0,0,0,0,0,0
Hoffenheim,Hertha,2020-05-16,0,4,0,2,0,1,1,0,1,2,1,0,0,3,3,0,0,0,0,3
RB Leipzig,Freiburg,2020-05-16,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,1,0
Ein Frankfurt,M'gladbach,2020-05-16,0,0,1,2,0,2,0,2,1,0,1,1,0,0,3,2,0,1,2,1
