HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Leicester,Arsenal,2019-11-09,1,1,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,2,0,0
Man United,Brighton,2019-11-10,1,0,0,1,0,1,0,0,0,0,2,0,1,1,0,1,2,1,0,1
Wolves,Aston Villa,2019-11-10,0,0,1,1,0,1,1,0,1,0,0,2,0,0,0,3,1,1,0,1
Liverpool,Man City,2019-11-10,0,1,2,0,0,1,2,0,0,1,2,0,2,0,0,0,2,1,0,1
West Ham,Tottenham,2019-11-23,0,2,2,1,0,2,0,1,0,0,1,1,0,0,1,1,0,2,2,1
Arsenal,Southampton,2019-11-23,1,0,0,1,0,0,0,2,0,1,1,1,1,0,0,2,1,1,1,1
Bournemouth,Wolves,2019-11-23,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,2,0
Brighton,Leicester,2019-11-23,0,0,2,0,0,2,1,1,0,0,2,0,0,0,2,0,0,0,0,2
Crystal Palace,Liverpool,2019-11-23,0,0,0,2,0,0,0,2,2,0,1,1,0,1,2,0,0,1,0,2
Everton,Norwich,2019-11-23,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,2,0,0,0,2
Watford,Burnley,2019-11-23,0,1,1,1,1,0,1,0,2,0,1,0,0,3,0,0,0,0,0,3
Man City,Chelsea,2019-11-23,0,1,2,0,0,2,1,1,0,0,2,0,1,0,1,1,2,0,1,0
Sheffield United,Man United,2019-11-24,3,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,1,2,0,3
Aston Villa,Newcastle,2019-11-25,1,0,0,2,0,1,1,1,1,1,1,0,2,0,1,2,2,0,0,0
Newcastle,Man City,2019-11-30,1,1,1,0,0,2,0,0,2,1,0,0,0,2,1,1,1,1,1,1
Burnley,Crystal Palace,2019-11-30,2,0,1,0,0,0,3,0,0,0,1,2,0,0,0,2,0,0,1,1
Chelsea,West Ham,2019-11-30,0,0,2,0,1,2,0,0,0,2,2,1,0,2,0,1,0,0,0,1
Liverpool,Brighton,2019-11-30,2,0,1,1,0,0,2,1,0,0,0,2,0,2,1,1,2,0,0,1
Tottenham,Bournemouth,2019-11-30,0,0,1,1,2,0,1,2,0,2,1,0,1,1,0,1,1,2,0,2
Southampton,Watford,2019-11-30,0,1,1,1,1,1,1,1,0,0,0,3,1,0,1,0,0,2,1,0
Norwich,Arsenal,2019-12-01,0,1,0,1,0,0,2,0,1,1,1,1,0,0,0,2,2,0,1,1
Wolves,Sheffield United,2019-12-01,1,0,1,1,2,0,0,1,1,0,2,3,0,0,1,1,0,1,1,0
Leicester,Everton,2019-12-01,0,0,2,0,0,0,2,0,0,0,0,2,1,0,1,1,0,2,1,0
Man United,Aston Villa,2019-12-01,2,0,1,1,0,1,3,2,2,0,0,0,0,1,1,1,1,1,1,1
Crystal Palace,Bournemouth,2019-12-03,0,0,1,2,1,0,1,0,0,2,1,0,0,1,2,2,0,1,0,0
Burnley,Man City,2019-12-03,0,1,0,1,0,0,3,0,2,1,0,0,1,1,1,1,0,1,1,3
Chelsea,Aston Villa,2019-12-04,0,0,0,1,1,2,0,0,2,0,0,0,1,1,1,1,1,1,1,0
Leicester,Watford,2019-12-04,0,1,2,0,0,0,2,0,0,0,0,3,1,0,0,2,0,2,0,0
Man United,Tottenham,2019-12-04,1,1,1,1,0,1,3,2,1,0,2,2,2,0,1,2,1,1,1,0
Southampton,Norwich,2019-12-04,0,1,2,0,1,1,1,1,2,1,0,1,0,0,2,0,2,0,0,1
Wolves,West Ham,2019-12-04,0,1,1,0,2,0,0,1,0,2,2,1,0,0,1,0,1,1,0,0
Liverpool,Everton,2019-12-04,2,0,0,1,0,0,2,1,0,0,0,2,1,0,0,2,4,1,2,0
Sheffield United,Newcastle,2019-12-05,1,0,2,3,1,0,0,1,1,1,1,1,0,2,0,0,0,0,1,1
Arsenal,Brighton,2019-12-05,1,1,1,1,1,2,1,0,0,0,0,2,0,2,1,0,0,1,1,1
Everton,Chelsea,2019-12-07,0,0,0,2,2,4,0,1,1,1,1,0,1,2,0,0,1,2,0,1
Bournemouth,Liverpool,2019-12-07,0,2,1,0,0,0,0,1,4,2,1,0,0,0,2,1,0,0,2,1
Tottenham,Burnley,2019-12-07,1,0,2,2,1,1,0,1,0,1,1,3,0,0,3,0,3,2,0,0
Watford,Crystal Palace,2019-12-07,0,0,0,3,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0
Man City,Man United,2019-12-07,2,1,0,0,1,0,3,1,1,1,1,0,0,1,3,2,0,1,2,0
